;Sample193;Sample194;Sample195;Sample197;Sample198;Sample200;Sample201;Sample202;Sample203;Sample204;Sample205;Sample206;Sample207;Sample208;Sample209;Sample210;Sample211;Sample212;Sample213;Sample214;Sample215;Sample216;Sample217;Sample218;Sample219;Sample220;Sample221;Sample222;Sample223;Sample224;Sample225;Sample226;Sample227;Sample228;Sample229;Sample230;Sample232;Sample233;Sample234;Sample237;Sample238;Sample239;Sample240;Sample241;Sample242;Sample243;Sample244;Sample245;Sample246;Sample247;Sample248;Sample249;Sample250;Sample251;Sample252;Sample253;Sample254;Sample255;Sample256;Sample257;Sample258;Sample259;Sample260;Sample261;Sample262;Sample263;Sample264;Sample265;Sample266;Sample267;Sample268;Sample273;Sample274;Sample275;Sample276;Sample309;Sample310;Sample311;Sample312
Acremonium_sp_1;0;2.3303202837;0.0607548943;0;0;0;0;0.0412499405;0;5.0013161125;0;0;0;0;0;0.0474022647;0.6893176473;0;0;0.0658636766;0;0;0;0;0;0;0;0;0;0;0;2.8133567971;0;0;0.0412499405;0;0;0;0.8193177566;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;1.0208450503;0;0;0;0;0;0;0;1.5989091436;0;0;0;0;0;0;2.3487579753;1.0208450503;0;0;0;13.9600276324;2.5919610607;0;0;0;0;0
Alternaria_sp_1;0;0;0;0;0;0;0;0;0;0;0;1.5989091436;1.3470770162;0;0;0;0;0;0;0;0;0.0474022647;0;0;0;0;0;0;0;5.013962851;1.8060246089;0;0;0;0.0412499405;0;0;0;2.6096030179;2.4748829938;0;0;0;0;0;0;0;0;0;0;0;2.3303202837;0.0412499405;0;0;4.6309794836;0;7.1639074811;0;0;3.909696129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aspergillus_appendiculatus;0;0;0;0.0781749544;0;0;1.5989091436;0;0;0;0;0;0;0;2.0104788605;0;0;0;0;0;0;0;9.7906926507;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0.0412499405;0;0;0;0;0;0.0535553307;0;0;0;0;0;0;0;12.0035281762;0;0.0412499405;0;11.1248243813;0;0;0;1.0208450503;0;0;0;0;0;0;0;0;0;0;0;11.9149694947;0;0;0;0;0;0;0
Aspergillus_conicus_1;0;0;0;0;0;0;0.0412499405;0;0;0;0.0412499405;0;0;2.6374957131;0;0;0;0;0;0;0;0;8.4159664342;0;0;0;9.3329547302;4.1122415154;0;0;6.5132266639;0;0.0535553307;0;1.5989091436;0;0;0;0;8.1173617353;0;0;0;4.79553588;0;0;0;3.5398460614;0;0;0;10.0389590497;0;0.0412499405;0;9.1672381015;0;0;0;0;0;0;0;5.833629106;0;0;0;8.9761447704;0;0;0;10.3910984886;0;0;0;0;0;0;0
Aspergillus_fumigatus_1;0.0412499405;0;5.4133693115;5.8966631696;0;0.429501244;3.4632553214;4.6455404913;5.3557619478;4.7020592933;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.1125897867;0;0;0;0;3.0783672482;0;0;0.0412499405;0;0;0;0;0;0;2.5919610607;0;0;0.0838321212;0;0;0;8.8735339685;3.810360538;2.0104788605;0;0;0.0412499405;0;0;0;6.9597209376;2.5919610607;1.0208450503;0;2.2426390332;0;0;0.069826704;0;0;0;0
Aspergillus_proliferans;4.2501430876;0;0;3.0430922461;0;0;4.3943222096;0;0.6807056036;0.0412499405;3.909696129;0;1.6657051003;0;3.810360538;0;0;0.0535553307;3.3604816472;0;2.6000334461;0;24.3191235101;1.0208450503;0.0412499405;0;23.5796580636;4.8136220917;0;1.0333231195;27.7252495727;0.0412499405;0.0535553307;0;10.9837858604;0;0.0633092222;4.5867169175;0;16.7288968433;0;3.0783672482;4.2861025072;26.7375545887;0.0412499405;1.0750638276;0;21.3948058417;0;0;0;28.893635787;0.0412499405;0.0412499405;2.8569681738;25.4268792686;0;1.0580816801;0.0412499405;4.9006830949;0.0412499405;0;0;21.8780013082;0;2.0883671162;1.548803396;15.8785473287;0;0.0412499405;0;25.0128570178;0;0.0412499405;0.069826704;1.7059790262;0;14.4656293416;0
Aureobasidium_pullulans;0;0;0;0;0;0;0;1.5989091436;0.6807056036;0;0;0;0;0;0;0;0;0;0;0;0.0491349809;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0;0;0;0.0633092222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0.0412499405;0;0;0;0;0;0;0;0;0
Cladosporium_delicatulum_1;0;0;0;0.0781749544;1.0371110386;3.2099504084;2.3303202837;0;1.0892073672;1.5989091436;6.2293804521;15.5328133682;3.6912792014;3.6884334573;0;9.3395495162;3.6663840436;0.0535553307;0;6.595607874;9.8738896701;2.0167623518;4.9599533828;3.0052536839;8.7549850538;1.0780691003;4.2313386207;4.0370838156;0;1.6114464083;0;0;11.5065281625;0.0781749544;2.0104788605;2.8133567971;12.9165653917;0;0;0;2.3303202837;0.7761597828;2.3288680236;0;7.6222657268;3.8652386099;0;0.0535553307;1.0208450503;3.2099504084;14.3008567108;2.3303202837;4.4613453694;3.7036761469;0;4.582942817;1.5060360774;4.2099727977;4.002630427;0;0.0412499405;0.0412499405;0.0781749544;1.0208450503;8.4133006257;0.1175504886;3.707515456;0;6.322454756;0.0412499405;0;8.806198753;10.745693811;0;1.049820592;0;0;0.0607548943;3.1998317479
Cladosporium_delicatulum_2;0.0412499405;0;0.0607548943;0;0;0;0;2.8133567971;0;0;0;0;0.363410131;0;0;0.0474022647;0;2.0230460406;0;0;0;0;0;0.0412499405;1.0208450503;0;0;0;0;0;0;0;1.6114464083;0;0;0;0;2.0104788605;0;0;0;0;0;0;2.8133567971;0.0947287773;0;0;0;0;0;0;4.3240330115;0.0412499405;0;0;0;0;0;1.5989091436;0.0412499405;0.0412499405;0;0.0412499405;0;0;0;0;0;1.0208450503;0;0;0;2.0104788605;1.049820592;0;0;0;0
Cryptococcus_pseudolongus;0;2.3303202837;0;3.363999003;4.1887374789;6.4208970364;4.002630427;0.0412499405;2.3992585118;3.3261333337;0;1.0208450503;0;1.269735187;1.0208450503;3.4695677305;1.6762795461;0.0535553307;0;1.499690201;0;0;0;3.3261333337;3.5884681412;2.3880282601;1.2921584223;0;0;1.6114464083;1.5453876691;0.0412499405;2.0230460406;0.0781749544;0.0412499405;0.0412499405;0.0633092222;1.5989091436;0;0;0;0.7761597828;0.0398301239;2.0230460406;4.1722635136;4.3789446827;0;0;0;0;0.9649738675;0.0412499405;0;2.8133567971;2.3738607131;0;1.9872358927;0.0779755079;1.0208450503;0;2.3303202837;0.0412499405;0;0;0;1.8971318927;0;0;2.5919610607;0;0.0571549864;0;0;1.5989091436;0;0;0;0.4657787707;2.6171562104
