"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Enterobacter_sp_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter",NA
"Stenotrophomonas_sp_1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","chelatiphaga/humi/maltophilia/nitritireducens/pavanii/rhizophila"
"Pantoea_sp_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea","agglomerans/ananatis/vagans"
"Cloacibacterium_normanense_1","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cloacibacterium","normanense"
"Acidovorax_sp_1","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",NA
"Acidovorax_sp_2","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",NA
"Bacillus_sp_1","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","agaradhaerens/altitudinis/amyloliquefaciens/atrophaeus/axarquiensis/cereus/licheniformis/malacitensis/methylotrophicus/mojavensis/nematocida/phage/polyfermenticus/pumilus/siamensis/sonorensis/subtilis/tequilensi/tequilensis/thuringiensis/vallismortis"
"Cupriavidus_sp_1","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","metallidurans/pauculus/taiwanensis"
"Tumebacillus_sp_1","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus",NA
"Rhizobium_sp_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","calliandrae/freirei/lusitanum/multihospitium/rhizogenes/tropici"
"Staphylococcus_sp_2","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","capitis/caprae/epidermidis/haemolyticus/saccharolyticus"
"Sphingomonas_paucimobilis","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","paucimobilis"
"Corynebacterium_1_tuberculostearicum_1","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","tuberculostearicum"
"Propionibacterium_acnes_1","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium","acnes"
"Staphylococcus_sp_3","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","capitis/caprae/epidermidis"
"Propionibacterium_sp_1","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium",NA
"Corynebacterium_1_tuscaniense","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","tuscaniense"
"Rhizobium_sp_10","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",NA
