"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"type",4,2.24325984517834,0.560814961294585,1.37643664307238,0.0729182455936423,0.001
"type.Residuals",70,28.5207804428936,0.407439720612766,NA,0.927081754406358,NA
"type.Total",74,30.764040288072,NA,NA,1,NA
"year",9,4.98144596941656,0.55349399660184,1.39540301237598,0.161924309120997,0.001
"year.Residuals",65,25.7825943186554,0.396655297210083,NA,0.838075690879003,NA
"year.Total",74,30.764040288072,NA,NA,1,NA
"grower_ID",20,9.43196820057018,0.471598410028509,1.1938040541528,0.306590685496768,0.001
"grower_ID.Residuals",54,21.3320720875018,0.395038371990774,NA,0.693409314503232,NA
"grower_ID.Total",74,30.764040288072,NA,NA,1,NA
"fum_presence",1,0.462831112644146,0.462831112644146,1.11502716038214,0.0150445490355049,0.248
"fum_presence.Residuals",73,30.3012091754278,0.415085057197642,NA,0.984955450964495,NA
"fum_presence.Total",74,30.764040288072,NA,NA,1,NA
