"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"type",4,1.68658711273124,0.421646778182811,1.43644801951938,0.0720513512794748,0.009
"type.Residuals",74,21.7215389359984,0.293534309945924,NA,0.927948648720525,NA
"type.Total",78,23.4081260487297,NA,NA,1,NA
"year",9,3.16052576823943,0.351169529804382,1.19671947395416,0.135018316359884,0.025
"year.Residuals",69,20.2476002804902,0.293443482325945,NA,0.864981683640116,NA
"year.Total",78,23.4081260487297,NA,NA,1,NA
"grower_ID",21,6.87488952928101,0.327375691870525,1.12866070806336,0.293696706646627,0.037
"grower_ID.Residuals",57,16.5332365194486,0.290056781042959,NA,0.706303293353373,NA
"grower_ID.Total",78,23.4081260487297,NA,NA,1,NA
"fum_presence",2,0.914308878666915,0.457154439333458,1.54459054800106,0.0390594649380972,0.024
"fum_presence.Residuals",76,22.4938171700627,0.295971278553457,NA,0.960940535061903,NA
"fum_presence.Total",78,23.4081260487297,NA,NA,1,NA
